admin_code,admin_level,region_name_en,region_name_zh,country_iso,macro_region,occupation_category,avg_annual_wage_cny,year,population,parent_admin_code,classification_system,wage_measure,data_availability,source,last_updated
CN-NAT,0,National,全国,CN,,Total,102452,2024,,,GB_T_2260_MACRO,enterprises above designated size,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NAT,0,National,全国,CN,,Middle management and above,203014,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NAT,0,National,全国,CN,,Professional and technical personnel,148046,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NAT,0,National,全国,CN,,Office staff and related personnel,93189,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NAT,0,National,全国,CN,,Personnel engaged in social production services and life services,77584,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NAT,0,National,全国,CN,,Personnel engaged in production and manufacturing,78561,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NAT,0,National,全国,CN,,Total,124110,2024,,CN-NAT,GB_T_2260_MACRO,urban non-private units,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-NAT,0,National,全国,CN,,Total,69476,2024,,CN-NAT,GB_T_2260_MACRO,urban private units,national,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-E,0,Eastern zone,东部地区,CN,Eastern,Total,112631,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-E,0,Eastern zone,东部地区,CN,Eastern,Middle management and above,235054,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-E,0,Eastern zone,东部地区,CN,Eastern,Professional and technical personnel,168801,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-E,0,Eastern zone,东部地区,CN,Eastern,Office staff and related personnel,104368,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
CN-E,0,Eastern zone,东部地区,CN,Eastern,Personnel engaged in social production services and life services,84717,2024,,CN-NAT,GB_T_2260_MACRO,enterprises above designated size,macro_region,https://www.stats.gov.cn/english/PressRelease/202505/t20250520_1959885.html,2025-05-20
